group,axis,value,description
kripke,alg,2.191335740072202,1=spr 2=pak 3=rand
kripke,bw_level,3.003610108303249, watts
kripke,node_count,2.137184115523466,1=512 2=1024 3=2048 4=4096
kripke,power_cap,1.9981949458483754, 1=64 2=80 3=115
kripke, runtime, 2.8294041371841154, millisecs 
kripke,thread_count,2.1101083032490973, 1=16 2=20 3=24
ft,bw_level,3.003610108303249, watts
ft,node_count,2.137184115523466,1=512 2=1024 3=2048 4=4096
ft,power_cap,1.9981949458483754, 1=64 2=80 3=115
ft, runtime,3.4153483754512637, millisecs 
ft,thread_count,2.1101083032490973, 1=16 2=20 3=24
mg,alg,2.167315175097276,1=spr 2=pak 3=rand
mg,bw_level,2.9883268482490273, watts
mg,node_count,2.151750972762646,1=512 2=1024 3=2048 4=4096
mg,power_cap,1.9669260700389104, 1=64 2=80 3=115
mg, runtime, 4.864803501945525, millisecs 
mg,thread_count,2.0583657587548636, 1=16 2=20 3=24
CoMD,alg,2.189873417721519,1=spr 2=pak 3=rand
CoMD,bw_level,3.0018083182640143, watts
CoMD,node_count,2.135623869801085,1=512 2=1024 3=2048 4=4096
CoMD,power_cap,1.9981916817359855,1=64 2=80 3=115
CoMD, runtime,4.1605338517179025, millisecs 
CoMD,thread_count,2.1103074141048825, 1=16 2=20 3=24
ft,alg,2.191335740072202,1=spr 2=pak 3=rand
lu,alg,2.191335740072202,1=spr 2=pak 3=rand
lu,bw_level,3.003610108303249, watts
lu,node_count,2.137184115523466,1=512 2=1024 3=2048 4=4096
lu,power_cap,1.9981949458483754,1=64 2=80 3=115
lu, runtime,4.310120938628159, millisecs 
lu,thread_count,2.1101083032490973, 1=16 2=20 3=24